Review,Rating
এই পণ্যটি সত্যিই ভালো!,2
এই পণ্যটি সত্যিই ভালো!,3
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",5
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",5
এটি একদমই খারাপ।,2
আমি এই পণ্যটি আবার কিনবো।,2
গুণগত মান বেশ খারাপ।,4
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",1
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,5
আমি সন্তুষ্ট নই।,5
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,5
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",5
পণ্যের প্যাকেজিং ভালো ছিল না।,4
এই পণ্যটি সত্যিই ভালো!,1
পণ্যের প্যাকেজিং ভালো ছিল না।,2
আমি সন্তুষ্ট নই।,3
সেবাটি অসাধারণ ছিল।,4
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",2
এটি আমার প্রত্যাশা পূরণ করেছে।,3
গুণগত মান বেশ খারাপ।,1
এটি আমার প্রত্যাশা পূরণ করেছে।,1
এই পণ্যটি সত্যিই ভালো!,5
এটি একদমই খারাপ।,3
এটি আমার প্রত্যাশা পূরণ করেছে।,4
আমি সন্তুষ্ট নই।,1
এটি একদমই খারাপ।,1
এটি আমার প্রত্যাশা পূরণ করেছে।,3
আমি সন্তুষ্ট নই।,2
এই পণ্যটি সত্যিই ভালো!,4
আমি এই পণ্যটি আবার কিনবো।,2
আমি এই পণ্যটি আবার কিনবো।,4
আমি সন্তুষ্ট নই।,3
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,3
এটি একদমই খারাপ।,1
এই পণ্যটি সত্যিই ভালো!,4
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,4
আমি সন্তুষ্ট নই।,3
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",2
এটি একদমই খারাপ।,3
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,2
এটি আমার প্রত্যাশা পূরণ করেছে।,3
সেবাটি অসাধারণ ছিল।,3
এটি একদমই খারাপ।,3
গুণগত মান বেশ খারাপ।,1
এটি আমার প্রত্যাশা পূরণ করেছে।,3
সেবাটি অসাধারণ ছিল।,1
এটি একদমই খারাপ।,1
এটি একদমই খারাপ।,2
আমি সন্তুষ্ট নই।,3
এই পণ্যটি সত্যিই ভালো!,3
এটি আমার প্রত্যাশা পূরণ করেছে।,2
এটি আমার প্রত্যাশা পূরণ করেছে।,2
আমি এই পণ্যটি আবার কিনবো।,2
পণ্যের প্যাকেজিং ভালো ছিল না।,3
পণ্যের প্যাকেজিং ভালো ছিল না।,4
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",3
এটি একদমই খারাপ।,1
গুণগত মান বেশ খারাপ।,3
পণ্যের প্যাকেজিং ভালো ছিল না।,2
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",3
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,2
এটি আমার প্রত্যাশা পূরণ করেছে।,1
পণ্যের প্যাকেজিং ভালো ছিল না।,1
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,1
সেবাটি অসাধারণ ছিল।,3
সেবাটি অসাধারণ ছিল।,5
আমি এই পণ্যটি আবার কিনবো।,4
সেবাটি অসাধারণ ছিল।,4
গুণগত মান বেশ খারাপ।,4
আমি এই পণ্যটি আবার কিনবো।,5
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,1
পণ্যের প্যাকেজিং ভালো ছিল না।,1
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,3
এই পণ্যটি সত্যিই ভালো!,2
সেবাটি অসাধারণ ছিল।,4
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,5
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",2
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,3
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",2
এটি আমার প্রত্যাশা পূরণ করেছে।,3
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",4
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",4
আমি সন্তুষ্ট নই।,2
সেবাটি অসাধারণ ছিল।,2
এটি একদমই খারাপ।,2
এটি আমার প্রত্যাশা পূরণ করেছে।,3
আমি এই পণ্যটি আবার কিনবো।,2
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,2
পণ্যের প্যাকেজিং ভালো ছিল না।,2
সেবাটি অসাধারণ ছিল।,3
"ডেলিভারি দ্রুত ছিল, পণ্যটি চমৎকার।",4
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,1
মূল্য অনুযায়ী পণ্যটি ঠিক আছে।,1
এই পণ্যটি সত্যিই ভালো!,5
এটি একদমই খারাপ।,1
সেবাটি অসাধারণ ছিল।,1
এই পণ্যটি সত্যিই ভালো!,1
গুণগত মান বেশ খারাপ।,5
গুণগত মান বেশ খারাপ।,5
আমি এই পণ্যটি আবার কিনবো।,2
এটি একদমই খারাপ।,2
এটি একদমই খারাপ।,4
গুণগত মান বেশ খারাপ।,5
আমি সন্তুষ্ট নই।,4
গুণগত মান বেশ খারাপ।,5
সেবাটি অসাধারণ ছিল।,5
আমি এই পণ্যটি আবার কিনবো।,2
