text,label
"All workers are entitled to a minimum of 10 days of paid vacation annually.",1
"Overtime is not compensated as per the legal requirement.",0
"Child labor is strictly prohibited in all company operations.",1
"Workers are required to work 12-hour shifts without any overtime pay.",0
"Health and safety regulations are strictly followed.",1
"Employees are not given any medical insurance.",0
"All employees are provided with annual health check-ups.",1
"The company does not provide paid sick leave to employees.",0
"The workplace is free from harassment and discrimination.",1
"Wages are paid below the minimum legal requirement.",0
